name;type;episodes;rating
Kamisama Hajimemashita: Kako-hen;OVA;4;864
Rainbow: Nisha Rokubou no Shichinin;TV;26;864
Re:Zero kara Hajimeru Isekai Seikatsu;TV;25;864
Tengen Toppa Gurren Lagann Movie: Lagann-hen;Movie;1;864
Zoku Natsume Yuujinchou;TV;13;864
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;TV;11;862
Kuroko no Basket 3rd Season;TV;25;862
Hotarubi no Mori e;Movie;1;861
Shokugeki no Souma;TV;24;861
Yuri!!! on Ice;TV;12;861
Gintama: Yorinuki Gintama-san on Theater 2D;Movie;2;860
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season;TV;24;860
Gintama Movie: Shinyaku Benizakura-hen;Movie;1;859
Hellsing Ultimate;OVA;10;859
Kiseijuu: Sei no Kakuritsu;TV;24;859
Shouwa Genroku Rakugo Shinjuu;TV;13;859
Uchuu Kyoudai;TV;99;859
Bakemono no Ko;Movie;1;858
Hotaru no Haka;Movie;1;858
Kuroko no Basket 2nd Season;TV;25;858
Major S5;TV;25;858
One Piece;TV;Unknown;858
Ghost in the Shell: Stand Alone Complex 2nd GIG;TV;26;857
JoJo no Kimyou na Bouken: Diamond wa Kudakenai;TV;39;857
Kara no Kyoukai 7: Satsujin Kousatsu (Kou);Movie;1;857
Kingdom 2nd Season;TV;39;857
Slam Dunk;TV;101;856
Usagi Drop;TV;11;856
Girls und Panzer der Film;Movie;1;855
Mob Psycho 100;TV;12;855
Nana;TV;47;855
Baccano!;TV;13;854
Mushishi Zoku Shou: Odoro no Michi;Special;1;854
Shingeki no Kyojin;TV;25;854
Bakuman. 2nd Season;TV;25;853
Cross Game;TV;50;853
Doukyuusei (Movie);Movie;1;853
Evangelion: 2.0 You Can (Not) Advance;Movie;1;853
Shinsekai yori;TV;25;853
Uchuu Senkan Yamato 2199;OVA;26;853
Chihayafuru 2;TV;25;852
Fate/Zero;TV;13;851
JoJo no Kimyou na Bouken (TV);TV;26;851
Mahou Shoujo Madoka?Magica;TV;12;851
Nichijou;TV;26;852
Psycho-Pass;TV;22;850
Barakamon;TV;12;850
Diamond no Ace: Second Season;TV;51;850
Magi: The Kingdom of Magic;TV;25;850
Mahou Shoujo Madoka?Magica Movie 3: Hangyaku no Monogatari;Movie;1;850
Major: World Series;OVA;2;850
Samurai Champloo;TV;26;850
Shokugeki no Souma: Ni no Sara;TV;13;850
Katanagatari;TV;12;849
Mahou Shoujo Madoka?Magica Movie 2: Eien no Monogatari;Movie;1;849
Major S6;TV;25;849
Mononoke;TV;12;849
Shirobako;TV;24;849
Ashita no Joe 2;TV;47;848
Hunter x Hunter;TV;62;848
Noragami Aragoto;TV;13;848
Sakamichi no Apollon;TV;12;848
Tonari no Totoro;Movie;1;848
Ghost in the Shell: Stand Alone Complex;TV;26;847
Kaze no Tani no Nausica�;Movie;1;847
No Game No Life;TV;12;847
Romeo no Aoi Sora;TV;33;847
Yuu?Yuu?Hakusho;TV;112;847
Kino no Tabi: The Beautiful World;TV;13;846
Kuroko no Basket;TV;25;846
Nodame Cantabile;TV;23;846
Ookami to Koushinryou II;TV;12;846
Shingeki no Kyojin: Kuinaki Sentaku;OVA;2;845
Fate/stay night: Unlimited Blade Works 2nd Season;TV;13;845
Kemono no Souja Erin;TV;50;845
Kizumonogatari I: Tekketsu-hen;Movie;1;845
Neon Genesis Evangelion: The End of Evangelion;Movie;1;845
Toradora!;TV;25;845
Toki wo Kakeru Shoujo;Movie;1;844
Tsubasa: Tokyo Revelations;OVA;3;844
Owarimonogatari;TV;12;843
Rurouni Kenshin: Meiji Kenkaku Romantan;TV;94;843
Stranger: Mukou Hadan;Movie;1;843
Detective Conan Movie 06: The Phantom of Baker Street;Movie;1;842
Fate/stay night: Unlimited Blade Works;TV;12;842
Major S1;TV;26;842
Mobile Suit Gundam: The Origin;OVA;6;842
Nanatsu no Taizai;TV;24;842
Natsume Yuujinchou;TV;13;842
One Piece Film: Strong World;Movie;1;842
Higurashi no Naku Koro ni Kai;TV;24;841
Hunter x Hunter OVA;OVA;8;841
Hunter x Hunter: Greed Island Final;OVA;14;841
Kuroshitsuji: Book of Murder;OVA;2;841
Major S2;TV;26;841
One Outs;TV;25;841
Beck;TV;26;840
Berserk;TV;25;840
Cowboy Bebop: Tengoku no Tobira;Movie;1;840
Major S3;TV;26;840
Mobile Suit Gundam Unicorn;OVA;7;840
Natsume Yuujinchou: Itsuka Yuki no Hi ni;OVA;1;840
NHK ni Youkoso!;TV;24;840
Rose of Versailles;TV;40;840
Sakurasou no Pet na Kanojo;TV;24;840
Angel Beats!;TV;13;839
Bakemonogatari;TV;15;839
Bungou Stray Dogs 2nd Season;TV;12;839
Hajime no Ippo: Champion Road;Special;1;839
One Piece Film: Z;Movie;1;839
Ouran Koukou Host Club;TV;26;839
Detective Conan Movie 13: The Raven Chaser;Movie;1;838
Durarara!!;TV;24;838
Nodame Cantabile Finale;TV;11;838
Planetes;TV;26;838
Shelter;Music;1;838
Tenkuu no Shiro Laputa;Movie;1;838
Gintama: Shiroyasha Koutan;Special;1;837
Hachimitsu to Clover II;TV;12;837
InuYasha: Kanketsu-hen;TV;26;837
Kaguya-hime no Monogatari;Movie;1;837
Katekyo Hitman Reborn!;TV;203;837
Kuroshitsuji: Book of Circus;TV;10;837
Ookami to Koushinryou;TV;13;837
Boku no Hero Academia;TV;13;836
Gin no Saji 2nd Season;TV;11;836
Little Busters!: Refrain;TV;13;836
Major: Message;OVA;1;836
Saint Seiya: The Lost Canvas - Meiou Shinwa 2;OVA;13;836
SKET Dance;TV;77;836
Bakuman.;TV;25;835
Danshi Koukousei no Nichijou;TV;12;835
Kotonoha no Niwa;Movie;1;835
Major S4;TV;26;835
Omoide no Marnie;Movie;1;835
Working!!!: Lord of the Takanashi;Special;1;834
Ghost in the Shell;Movie;1;834
K-On! Movie;Movie;1;834
Kuroko no Basket: Saikou no Present Desu;Special;1;834
Sennen Joyuu;Movie;1;834
xxxHOLiC Kei;TV;13;834
Berserk: Ougon Jidai-hen III - Kourin;Movie;1;833
Death Parade;TV;12;833
Fullmetal Alchemist;TV;51;833
Gyakkyou Burai Kaiji: Ultimate Survivor;TV;26;833
Hunter x Hunter: Greed Island;OVA;8;833
Redline;Movie;1;833
Chihayafuru;TV;25;832
Detective Conan Movie 20: The Darkest Nightmare;Movie;1;832
Dragon Ball Z;TV;291;832
Fate/stay night: Unlimited Blade Works - Prologue;Special;1;832
Kokoro ga Sakebitagatterunda.;Movie;1;832
Mimi wo Sumaseba;Movie;1;832
Nagi no Asukara;TV;26;832
Neon Genesis Evangelion;TV;26;832
One Piece Film: Gold;Movie;1;832
Tokyo Godfathers;Movie;1;832
Trigun;TV;26;832
xxxHOLiC Rou;OVA;2;832
Gintama: Shinyaku Benizakura-hen;Special;1;831
Mahou Shoujo Madoka?Magica Movie 1: Hajimari no Monogatari;Movie;1;831
Sekaiichi Hatsukoi 2;TV;12;831
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku;TV;13;831
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA;OVA;1;831
Aria The Natural;TV;26;830
Black Lagoon: The Second Barrage;TV;12;830
Clannad;TV;23;830
Kami nomi zo Shiru Sekai: Megami-hen;TV;12;830
Summer Wars;Movie;1;830
Baccano! Specials;Special;3;829
Detective Conan Movie 14: The Lost Ship in the Sky;Movie;1;829
Gyakkyou Burai Kaiji: Hakairoku-hen;TV;26;829
Initial D Final Stage;TV;4;829
Kaiba;TV;12;829
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari;Special;1;829
Saiki Kusuo no ?-nan (TV);TV;120;829
Cardcaptor Sakura Movie 2: Fuuin Sareta Card;Movie;1;828
Hajime no Ippo: Mashiba vs. Kimura;OVA;1;828
Kamisama Hajimemashita?;TV;12;828
Skip Beat!;TV;25;828
Yowamushi Pedal: Grande Road;TV;24;828
Gankutsuou;TV;24;827
Majo no Takkyuubin;Movie;1;827
Nodame Cantabile: Paris-hen;TV;11;827
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna;Special;1;827
Osomatsu-san;TV;25;827
Space?Dandy 2nd Season;TV;13;827
Tsumiki no Ie;Movie;1;827
Detroit Metal City;OVA;12;826
Eve no Jikan;ONA;6;826
Eve no Jikan (Movie);Movie;1;826
Kaichou wa Maid-sama!;TV;26;826
Saint Seiya: Meiou Hades Juuni Kyuu-hen;OVA;13;826
Zankyou no Terror;TV;11;826
Darker than Black: Kuro no Keiyakusha;TV;25;825
Detective Conan;TV;Unknown;825
Detective Conan Movie 05: Countdown to Heaven;Movie;1;825
Diamond no Ace;TV;75;825
Fairy Tail (2014);TV;102;825
Hibike! Euphonium 2;TV;13;825
JoJo no Kimyou na Bouken: Stardust Crusaders;TV;24;825
Maison Ikkoku;TV;96;825
Non Non Biyori Repeat;TV;12;826
Shijou Saikyou no Deshi Kenichi;TV;50;825
Yuusha-Ou GaoGaiGar Final;OVA;8;825
Gekkan Shoujo Nozaki-kun;TV;12;824
Initial D Fourth Stage;TV;24;824
Junjou Romantica 2;TV;12;824
Kaze Tachinu;Movie;1;824
Kingdom;TV;38;824
Kuragehime;TV;11;824
Magi: The Labyrinth of Magic;TV;25;824
Mobile Suit Gundam 00;TV;25;824
ReLIFE;TV;13;824
Saint Seiya: The Lost Canvas - Meiou Shinwa;OVA;13;824
Seirei no Moribito;TV;26;824
Akatsuki no Yona;TV;24;823
Detective Conan Movie 08: Magician of the Silver Sky;Movie;1;823
Durarara!!x2 Ketsu;TV;12;823
Free!: Eternal Summer Special;Special;1;823
Glass no Kamen (2005);TV;51;823
Gosick;TV;24;823
Hajime no Ippo: Boxer no Kobushi;Special;1;823
Initial D First Stage;TV;26;823
Kill la Kill;TV;24;823
Lovely?Complex;TV;24;823
Perfect Blue;Movie;1;823
Princess Tutu;TV;38;823
Sakasama no Patema;Movie;1;823
Tsubasa: Shunraiki;OVA;2;823
Ashita no Joe;TV;79;822
Fairy Tail;TV;175;822
Ghost in the Shell: Stand Alone Complex - Solid State Society;Special;1;822
Magi: Sinbad no Bouken (TV);TV;13;822
Shoujo Kakumei Utena;TV;39;822
Tengen Toppa Gurren Lagann Movie: Gurren-hen;Movie;1;822
Detective Conan Movie 10: Requiem of the Detectives;Movie;1;821
Evangelion: 1.0 You Are (Not) Alone;Movie;1;821
Full Metal Panic? Fumoffu;TV;12;821
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture;Movie;1;821
Kara no Kyoukai 3: Tsuukaku Zanryuu;Movie;1;821
Mobile Suit Gundam 00 Second Season;TV;25;821
Nisemonogatari;TV;11;821
Tsukimonogatari;TV;4;821
Ansatsu Kyoushitsu (TV);TV;22;820
Aria The Avvenire;Special;3;820
Baby Steps 2nd Season;TV;25;820
D.Gray-man;TV;103;820
Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari;OVA;24;820
Gintama: Jump Festa 2014 Special;Special;1;820
Lupin III: Cagliostro no Shiro;Movie;1;820
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season;TV;25;820
Ookiku Furikabutte: Natsu no Taikai-hen;TV;13;820
Saiunkoku Monogatari 2nd Season;TV;39;820
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai;Movie;1;820
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie;Movie;1;819
Dennou Coil;TV;26;819
Eureka Seven;TV;50;819
Ghost in the Shell: Stand Alone Complex - The Laughing Man;Special;1;819
Gintama: Dai Hanseikai;Special;1;819
Hidamari Sketch: Sae Hiro Sotsugyou-hen;OVA;2;819
Hikaru no Go;TV;75;819
Kimi ni Todoke;TV;25;819
Kokoro Connect: Michi Random;Special;4;819
Tokyo Magnitude 8.0;TV;11;819
Cardcaptor Sakura;TV;70;818
ef: A Tale of Melodies.;TV;12;818
Gin no Saji;TV;11;818
Hachimitsu to Clover;TV;24;818
Kodomo no Omocha (TV);TV;102;818
Love Live! The School Idol Movie;Movie;1;818
Mahoutsukai no Yome: Hoshi Matsu Hito;OVA;3;818
Sekaiichi Hatsukoi OVA;OVA;2;818
Working!!!;TV;13;818
Black Lagoon;TV;12;817
Detective Conan Movie 18: The Sniper from Another Dimension;Movie;1;817
Final Fantasy VII: Advent Children Complete;OVA;1;817
Higurashi no Naku Koro ni;TV;26;817
Hyouka;TV;22;817
Interstella5555: The 5tory of The 5ecret 5tar 5ystem;Music;1;817
Kanon (2006);TV;24;817
Kimi ni Todoke 2nd Season;TV;12;817
Noragami;TV;12;817
Persona 3 the Movie 4: Winter of Rebirth;Movie;1;817
xxxHOLiC Shunmuki;OVA;2;817
Zetsuen no Tempest;TV;24;817
Aria The Origination: Sono Choppiri Himitsu no Basho ni...;Special;1;816
Detective Conan Movie 03: The Last Wizard of the Century;Movie;1;816
Detective Conan Movie 04: Captured in Her Eyes;Movie;1;816
Dragon Ball;TV;153;816
Hanada Shounen-shi;TV;25;816
Junjou Romantica 3;TV;12;816
Juuni Kokuki;TV;45;816
Major Movie: Yuujou no Winning Shot;Movie;1;816
Mirai Shounen Conan;TV;26;816
One Piece Film: Strong World Episode 0;OVA;1;816
Phantom: Requiem for the Phantom;TV;26;816
Tamako Love Story;Movie;1;816
Toaru Kagaku no Railgun S;TV;24;816
Touch;TV;101;816
Yowamushi Pedal;TV;38;816
Akira;Movie;1;815
Durarara!!x2 Shou;TV;12;815
Gintama: Jump Festa 2015 Special;Special;1;815
High?Speed!: Free! Starting Days;Movie;1;815
Kyou kara Ore wa!!;OVA;10;815
Nurarihyon no Mago: Sennen Makyou;TV;24;815
Paprika;Movie;1;815
Prince of Tennis: The National Tournament Finals;OVA;7;815
School Rumble Ni Gakki;TV;26;815
Sekaiichi Hatsukoi;TV;12;815
Akagami no Shirayuki-hime 2nd Season;TV;12;814
Clannad: Mou Hitotsu no Sekai, Tomoyo-hen;Special;1;814
Ginga Nagareboshi Gin;TV;21;814
Initial D Fifth Stage;TV;14;814
K-On!!;TV;26;814
Log Horizon;TV;25;814
Sekaiichi Hatsukoi: Valentine-hen;Movie;1;814
Slayers Next;TV;26;814
Aria The OVA: Arietta;OVA;1;813
Detective Conan Movie 15: Quarter of Silence;Movie;1;813
Digimon Adventure tri. 3: Kokuhaku;Movie;1;813
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi;Special;1;813
Igano Kabamaru;TV;24;813
Kamisama Hajimemashita;TV;13;813
Kara no Kyoukai: Mirai Fukuin;Movie;1;813
Mobile Suit Gundam: The 08th MS Team;OVA;12;813
Omae Umasou da na;Movie;1;813
Ushio to Tora (TV) 2nd Season;TV;13;813
Ajin 2nd Season;TV;13;812
Aoki Hagane no Arpeggio: Ars Nova Cadenza;Movie;1;812
City Hunter 2;TV;63;812
Durarara!!x2 Ten;TV;12;812
ef: A Tale of Memories.;TV;12;812
Ghost in the Shell 2.0;Movie;1;812
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven;Special;1;812
Ginga Sengoku Gunyuuden Rai;TV;52;812
Initial D Second Stage;TV;13;812
Kami nomi zo Shiru Sekai II;TV;12;812
Noragami Aragoto OVA;OVA;2;812
Stand By Me Doraemon;Movie;1;812
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;TV;13;812
Fullmetal Alchemist: Brotherhood Specials;Special;4;811
Hanamonogatari;TV;5;811
Kimi to Boku. 2;TV;13;811
Ookiku Furikabutte;TV;25;811
Ore Monogatari!!;TV;24;811
Tamayura: Sotsugyou Shashin Part 4 - Ashita;Movie;1;810
Tekkon Kinkreet;Movie;1;811
There She Is!!;ONA;5;811
xxxHOLiC;TV;24;811
Byousoku 5 Centimeter;Movie;3;810
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen;Special;1;810
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu;OVA;28;810
Hyouge Mono;TV;39;810
Karigurashi no Arrietty;Movie;1;810
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen;OVA;2;810
Tanaka-kun wa Itsumo Kedaruge;TV;12;810
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku;Movie;1;809
Darker than Black: Kuro no Keiyakusha Gaiden;Special;4;809
Elsword: El Lady;ONA;12;811
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai;Movie;1;809
Hikaru no Go: Journey to the North Star Cup;Special;1;809
Hybrid Child;OVA;4;809
Isekai no Seikishi Monogatari;OVA;13;809
Junjou Romantica OVA;OVA;2;809
Kobato.;TV;24;809
Kuuchuu Buranko;TV;11;809
Macross: Do You Remember Love?;Movie;1;809
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai;Special;1;809
Prince of Tennis: The National Tournament;OVA;13;809
Prince of Tennis: The National Tournament Semifinals;OVA;6;809
Eyeshield 21;TV;145;808
Full Moon wo Sagashite;TV;52;808
Grisaia no Rakuen;TV;10;808
Jigoku Shoujo Futakomori;TV;26;808
Junjou Romantica;TV;12;808
Mawaru Penguindrum;TV;24;808
SKET Dance OVA;OVA;1;808
Soul Eater;TV;51;808
Trigun: Badlands Rumble;Movie;1;808
Haibane Renmei;TV;13;807
Kuroko no Basket: Tip Off;Special;1;807
Macross;TV;36;807
Mirai Nikki (TV);TV;26;807
Saiyuuki Reload: Burial;OVA;3;807
Tentai Senshi Sunred 2nd Season;TV;26;807
Terra e... (TV);TV;24;807
Tokyo Ghoul;TV;12;807
Usagi Drop Specials;Special;4;807
Yume-iro P�tissi�re;TV;50;807
Azumanga Daioh;TV;26;806
Colorful (Movie);Movie;1;806
Detective Conan OVA 09: The Stranger in 10 Years...;OVA;1;806
Drifters: Special Edition;OVA;1;806
FLCL;OVA;6;806
Full Metal Panic! The Second Raid;TV;13;806
Kuroshitsuji;TV;24;806
Love Live! School Idol Project 2nd Season;TV;13;806
Macross F Movie 2: Sayonara no Tsubasa;Movie;1;806
Magi: Sinbad no Bouken;OVA;5;806
Nekomonogatari: Kuro;TV;4;806
Saiunkoku Monogatari;TV;39;806
School Rumble;TV;26;806
Strike the Blood II;OVA;8;805
Suzumiya Haruhi no Yuuutsu;TV;14;806
Flanders no Inu (Movie);Movie;1;805
Golden Boy;OVA;6;805
Grisaia no Meikyuu: Caprice no Mayu 0;Special;1;805
Kaleido Star;TV;51;805
Kara no Kyoukai 4: Garan no Dou;Movie;1;805
Lupin III vs. Detective Conan: The Movie;Movie;1;805
Non Non Biyori;TV;12;805
Seitokai Yakuindomo* OVA;OVA;6;805
Yakitate!! Japan;TV;69;805
Beelzebub;TV;60;804
Death Billiards;Movie;1;804
Durarara!! Specials;Special;2;804
Jormungand: Perfect Order;TV;12;804
Mahou Shoujo Lyrical Nanoha: The Movie 1st;Movie;1;804
Overlord;TV;13;804
Prince of Tennis;TV;178;804
Takarajima;TV;26;804
xxxHOLiC Movie: Manatsu no Yoru no Yume;Movie;1;804
Yuru Yuri San?Hai!;TV;12;804
Boruto: Naruto the Movie;Movie;1;803
Coquelicot-zaka kara;Movie;1;803
Eikoku Koi Monogatari Emma: Molders-hen;TV;12;803
Ergo Proxy;TV;23;803
Hanasaku Iroha;TV;26;803
Hataraku Maou-sama!;TV;13;803
Hibike! Euphonium;TV;13;803
Higashi no Eden;TV;11;803
Ie Naki Ko Remi;TV;23;803
Kono Subarashii Sekai ni Shukufuku wo!;TV;10;803
Kurenai no Buta;Movie;1;803
Mobile Suit Zeta Gundam;TV;50;803
Prison School;TV;12;803
Saint Seiya;TV;114;803
Sayonara Zetsubou Sensei;TV;12;803
Seto no Hanayome OVA;OVA;2;803
Zoku Sayonara Zetsubou Sensei;TV;13;803
Akachan to Boku;TV;35;802
Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen;Special;1;802
Hakuouki Movie 2: Shikon Soukyuu;Movie;1;803
Kara no Kyoukai 2: Satsujin Kousatsu (Zen);Movie;1;802
Macross F;TV;25;802
Magic Kaito;Special;12;802
Sakigake!! Cromartie Koukou;TV;26;802
Shijou Saikyou no Deshi Kenichi OVA;OVA;11;802
Touhai Densetsu Akagi: Yami ni Maiorita Tensai;TV;26;802
Carnival Phantasm;OVA;12;801
D.Gray-man Hallow;TV;13;801
Date A Live: Encore OVA;OVA;1;801
Dragon Ball Kai (2014);TV;61;801
Gochuumon wa Usagi Desu ka??;TV;12;801
Hidamari Sketch x ???;TV;12;801
Kokoro Connect;TV;13;801
Saiyuuki Gaiden;OVA;3;801
Shirokuma Cafe;TV;50;801
Zan Sayonara Zetsubou Sensei;TV;13;801
City Hunter;TV;51;800
Detective Conan Movie 02: The Fourteenth Target;Movie;1;800
Gekkan Shoujo Nozaki-kun Specials;Special;6;800
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi;OVA;7;800
Hetalia: The Beautiful World Specials;Special;4;800
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari;OVA;1;800
Kamisama Hajimemashita OVA;OVA;2;800
Little Witch Academia;Movie;1;800
Maria-sama ga Miteru 3rd;OVA;5;800
Mobile Suit Gundam Thunderbolt;ONA;4;800
The Everlasting Guilty Crown;Music;1;800
Bishoujo Senshi Sailor Moon: Sailor Stars;TV;34;799
Break Blade 4: Sanka no Chi;Movie;1;799
Hanasaku Iroha: Home Sweet Home;Movie;1;799
Hidamari Sketch x Honeycomb;TV;12;799
Hokuto no Ken;TV;109;799
Les Mis�rables: Shoujo Cosette;TV;52;799
Serial Experiments Lain;TV;13;799
Shiki;TV;22;799
Ushiro no Shoumen Daare;Movie;1;799
Baka to Test to Shoukanjuu Ni!;TV;13;798
Detective Conan Movie 01: The Timed Skyscraper;Movie;1;798
Detective Conan Movie 07: Crossroad in the Ancient Capital;Movie;1;798
Gundam Build Fighters;TV;25;798
Hetalia: The Beautiful World;ONA;20;798
Initial D Third Stage;Movie;1;798
Kuroko no Basket 3rd Season NG-shuu;Special;9;798
Neko no Ongaeshi;Movie;1;798
Seihou Bukyou Outlaw Star;TV;24;798
White Album 2;TV;13;798
Gate: Jieitai Kanochi nite, Kaku Tatakaeri;TV;12;797
Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season;TV;12;797
Ghost Hunt;TV;25;797
Gungrave;TV;26;797
Jungle wa Itsumo Hare nochi Guu;TV;26;797
Kuroko no Basket 2nd Season NG-shuu;Special;9;797
Kyou kara Maou! 3rd Series;TV;39;797
Lupin III (2015);TV;24;797
Madang-Eul Naon Amtalg;Movie;1;797
Maria-sama ga Miteru 4th;TV;13;797
Musekinin Kanchou Tylor;TV;26;797
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu;OVA;1;797
Saint Seiya: Meiou Hades Meikai-hen;OVA;12;797
Saint?Oniisan (Movie);Movie;1;797
Seikai no Senki II;TV;10;797
Top wo Nerae! Gunbuster;OVA;6;797
Toshokan Sensou: Kakumei no Tsubasa;Movie;1;796
Uchouten Kazoku;TV;13;796
Baby Steps;TV;25;796
Break Blade 5: Shisen no Hate;Movie;1;796
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem;OVA;1;796
Goku Sayonara Zetsubou Sensei;OVA;3;796
Jormungand;TV;12;796
Kindaichi Shounen no Jikenbo (TV);TV;148;796
Mobile Suit Gundam: Iron-Blooded Orphans;TV;25;796
Shin Mazinger Shougeki! Z-hen;TV;26;796
Tentai Senshi Sunred;TV;26;796
Yuusha-Ou GaoGaiGar;TV;49;796
Bleach;TV;366;795
Chuunibyou demo Koi ga Shitai!;TV;12;795
City Hunter 3;TV;13;795
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen;TV;11;795
Detective Conan Movie 08: Time Travel of the Silver Sky;Special;1;795
Detective Conan OVA 10: Kid in Trap Island;OVA;1;795
Dragon Ball Kai;TV;97;795
Hetalia World Series;ONA;48;795
Jungle wa Itsumo Hare nochi Guu Deluxe;OVA;6;795
Kami nomi zo Shiru Sekai;TV;12;795
Kyousou Giga (TV);TV;10;795
Magic Kaito 1412;TV;24;795
Nejimaki Seirei Senki: Tenkyou no Alderamin;TV;13;795
Plastic Memories;TV;13;795
Psycho-Pass Movie;Movie;1;795
Seto no Hanayome;TV;26;795
Sidonia no Kishi: Daikyuu Wakusei Seneki;TV;12;795
Tanoshii Muumin Ikka;TV;78;795
Tasogare Otome x Amnesia;TV;12;795
Vampire Hunter D (2000);Movie;1;795
Yuru Yuri Nachuyachumi!;OVA;1;795
Break Blade 3: Kyoujin no Ato;Movie;1;794
Danshi Koukousei no Nichijou Specials;Special;6;794
Detective Conan Movie 09: Strategy Above the Depths;Movie;1;794
Detective Conan Movie 12: Full Score of Fear;Movie;1;794
Final Fantasy VII: Advent Children;Movie;1;794
Free!: Eternal Summer;TV;13;794
Hakuouki Movie 1: Kyoto Ranbu;Movie;1;794
Hidamari Sketch x ??? Specials;Special;2;794
K: Missing Kings;Movie;1;794
Last Exile;TV;26;794
Little Busters!: EX;Special;8;794
Mobile Suit Gundam Wing: Endless Waltz Movie;Movie;1;794
Naruto: Shippuuden;TV;Unknown;794
Pokemon: The Origin;Special;4;794
Yuru Yuri??;TV;12;794
Zan Sayonara Zetsubou Sensei Bangaichi;OVA;2;794
3-gatsu no Lion;TV;23;793
91 Days;TV;12;793
Akagami no Shirayuki-hime;TV;12;793
Drifters;TV;12;793
Gake no Ue no Ponyo;Movie;1;793
Ghost in the Shell 2: Innocence;Movie;1;793
Haikyuu!! Movie 1: Owari to Hajimari;Movie;1;794
Haikyuu!! OVA;OVA;2;793
Hoozuki no Reitetsu OVA;OVA;3;793
